antecedents,consequents,support,confidence,lift
Red Peppers,Limes,0.010071227944941885,0.13266557645134916,2.485204189564358
Limes,Red Peppers,0.010071227944941885,0.18866279069767442,2.4852041895643575
Organic Baby Spinach,Organic Baby Carrots,0.010241926723669713,0.10832991382847763,2.4667448682052746
Organic Baby Carrots,Organic Baby Spinach,0.010241926723669713,0.23321554770318018,2.466744868205274
Organic Baby Spinach,Organic Avocado,0.018877733120218496,0.19967172753385312,2.4536700598796775
Organic Avocado,Organic Baby Spinach,0.018877733120218496,0.23197940503432496,2.4536700598796775
Organic Avocado,Organic Raspberries,0.01356279387346565,0.16666666666666666,2.441779394490546
Organic Raspberries,Organic Avocado,0.01356279387346565,0.19870410367170627,2.441779394490546
Organic Cucumber,Organic Baby Carrots,0.012499806024115082,0.23937592867756316,2.4159160876915973
Organic Baby Carrots,Organic Cucumber,0.012499806024115082,0.12615505090054815,2.415916087691597
Organic Raspberries,Organic Avocado,0.01356279387346565,0.4205967276227141,2.4133986665540554
Organic Avocado,Organic Raspberries,0.01356279387346565,0.07782378344686344,2.413398666554055
Organic Unsweetened Almond Milk,Organic Baby Spinach,0.010831613413820393,0.2273615635179153,2.4048266745437803
Organic Baby Spinach,Organic Unsweetened Almond Milk,0.010831613413820393,0.11456709068526877,2.40482667454378
Organic Avocado,Organic Yellow Onion,0.013027420431092007,0.07475179199501358,2.3906105349631117
Organic Yellow Onion,Organic Avocado,0.013027420431092007,0.41662531017369725,2.3906105349631113
Organic Baby Carrots,Organic Baby Spinach,0.010241926723669713,0.1033672670321065,2.3840694541216805
Organic Baby Spinach,Organic Baby Carrots,0.010241926723669713,0.23622047244094488,2.3840694541216805
Red Peppers,Organic Avocado,0.014602504616626062,0.19235486508585448,2.3637566477874805
Organic Avocado,Red Peppers,0.014602504616626062,0.17944317315026698,2.3637566477874805
Seedless Red Grapes,Organic Strawberries,0.01772163684610729,0.31468724166437034,2.329820834110029
Organic Strawberries,Seedless Red Grapes,0.01772163684610729,0.13120404411764705,2.3298208341100284
Limes,Organic Avocado,0.010063468909545166,0.18851744186046512,2.316600394914232
Organic Avocado,Limes,0.010063468909545166,0.1236651411136537,2.3166003949142318
Organic Yellow Onion,Large Lemon,0.01744231157182539,0.2214996551384373,2.314897709499844
Large Lemon,Organic Yellow Onion,0.01744231157182539,0.18228997729484267,2.3148977094998435
Organic Unsweetened Almond Milk,Organic Baby Spinach,0.010831613413820393,0.10033060227109386,2.314031618092899
Organic Baby Spinach,Organic Unsweetened Almond Milk,0.010831613413820393,0.24982104509663564,2.314031618092899
Organic Strawberries,Banana,0.010428143573190982,0.07720588235294118,2.300149914334666
Banana,Organic Strawberries,0.010428143573190982,0.31067961165048547,2.300149914334666
Organic Baby Spinach,Organic Cucumber,0.011289396502226844,0.11940910956093559,2.2867288051162706
Organic Cucumber,Organic Baby Spinach,0.011289396502226844,0.2161961367013373,2.28672880511627
Organic Strawberries,Organic Baby Carrots,0.01356279387346565,0.10041360294117647,2.286485154463729
Organic Baby Carrots,Organic Strawberries,0.01356279387346565,0.3088339222614841,2.286485154463729
Large Lemon,Organic Avocado,0.01778370912928105,0.1858579305870905,2.283918936873131
Organic Avocado,Large Lemon,0.01778370912928105,0.2185354691075515,2.283918936873131
Organic Avocado,Organic Strawberries,0.025038407225213763,0.3076849733028223,2.2779787872940225
Organic Strawberries,Organic Avocado,0.025038407225213763,0.1853745404411765,2.2779787872940225
Organic Baby Carrots,Organic Avocado,0.017403516394841792,0.39628975265017663,2.2739243978923493
Organic Avocado,Organic Baby Carrots,0.017403516394841792,0.09986198299274296,2.2739243978923493
Limes,Organic Avocado,0.02103474496050651,0.39404069767441857,2.2610192421385698
Organic Avocado,Limes,0.02103474496050651,0.12069809892702905,2.2610192421385693
Organic Garnet Sweet Potato (Yam),Organic Avocado,0.01028848093605003,0.3935886019590383,2.258425101183597
Organic Avocado,Organic Garnet Sweet Potato (Yam),0.01028848093605003,0.0590356618138106,2.2584251011835965
Organic Garlic,Organic Baby Carrots,0.010645396564299126,0.22279961026307243,2.248618588091253
Organic Baby Carrots,Organic Garlic,0.010645396564299126,0.10743931088488645,2.248618588091253
Organic Avocado,Organic Cucumber,0.02025108238543784,0.11620141578736476,2.2253002777870945
Organic Cucumber,Organic Avocado,0.02025108238543784,0.38781575037147104,2.2253002777870945
Organic Avocado,Organic Zucchini,0.014082649245045856,0.08080673166822493,2.2032014366118395
Organic Zucchini,Organic Avocado,0.014082649245045856,0.3839644594880474,2.2032014366118395
Organic Baby Spinach,Organic Strawberries,0.0128256855107773,0.2958124552612742,2.190079323241242
Organic Strawberries,Organic Baby Spinach,0.0128256855107773,0.0949563419117647,2.1900793232412417
Organic Avocado,Organic Cilantro,0.016193106872953555,0.09291661101464761,2.18766508235108
Organic Cilantro,Organic Avocado,0.016193106872953555,0.3812568505663135,2.18766508235108
Organic Avocado,Organic Strawberries,0.025038407225213763,0.14367125239303682,2.1745905285871254
Organic Strawberries,Organic Avocado,0.025038407225213763,0.3789782736347622,2.1745905285871254
Large Lemon,Organic Strawberries,0.011894601263170962,0.29283667621776505,2.168047823086971
Organic Strawberries,Large Lemon,0.011894601263170962,0.08806295955882353,2.168047823086971
Organic Baby Carrots,Red Peppers,0.01627845626231747,0.16429130775254505,2.16416520091614
Red Peppers,Organic Baby Carrots,0.01627845626231747,0.21443172526574,2.16416520091614
Organic Grape Tomatoes,Organic Avocado,0.015867227386291337,0.37647275405007363,2.160213769978255
Organic Avocado,Organic Grape Tomatoes,0.015867227386291337,0.09104670317439116,2.160213769978255
Organic Avocado,Organic Baby Carrots,0.017403516394841792,0.21386346300533943,2.1584299795657134
Organic Baby Carrots,Organic Avocado,0.017403516394841792,0.17564604541895065,2.158429979565713
Organic Baby Carrots,Organic Yellow Onion,0.01669744417374032,0.16851996867658575,2.1400325749310993
Organic Yellow Onion,Organic Baby Carrots,0.01669744417374032,0.21204059513252538,2.1400325749310993
Organic Strawberries,Banana,0.025038407225213763,0.6103650463400795,2.1342739134625353
Banana,Organic Strawberries,0.025038407225213763,0.08755222746757828,2.1342739134625353
Organic Avocado,Organic Unsweetened Almond Milk,0.017698359739917135,0.10155380437202262,2.131670588774433
Organic Unsweetened Almond Milk,Organic Avocado,0.017698359739917135,0.3714983713355049,2.131670588774433
Banana,Organic Strawberries,0.011421300103971074,0.039937055727386185,2.115564166155769
Organic Strawberries,Banana,0.011421300103971074,0.6050143855322646,2.115564166155769
Organic Strawberries,Banana,0.0128256855107773,0.6046086320409656,2.114145360971939
Banana,Organic Strawberries,0.0128256855107773,0.04484779423734332,2.114145360971939
Organic Avocado,Banana,0.01356279387346565,0.6037996545768567,2.1113165956149125
Banana,Organic Avocado,0.01356279387346565,0.047425253676271095,2.1113165956149125
Banana,Organic Strawberries,0.010629878493505687,0.037169678224537414,2.097417893579173
Organic Strawberries,Banana,0.010629878493505687,0.5998248686514887,2.097417893579173
Organic Strawberries,Banana,0.01356279387346565,0.5986301369863013,2.093240254899031
Banana,Organic Strawberries,0.01356279387346565,0.047425253676271095,2.093240254899031
Banana,Organic Strawberries,0.010428143573190982,0.03646426827283087,2.083150631001325
Organic Strawberries,Banana,0.010428143573190982,0.5957446808510639,2.083150631001325
Organic Baby Spinach,Red Peppers,0.014936143138684998,0.15798112433319655,2.081042852239477
Red Peppers,Organic Baby Spinach,0.014936143138684998,0.19674979558462796,2.0810428522394764
Organic Strawberries,Red Peppers,0.010428143573190982,0.15783910745742807,2.0791721021390277
Red Peppers,Organic Strawberries,0.010428143573190982,0.13736713000817663,2.0791721021390277
Large Lemon,Red Peppers,0.01508356481122267,0.15763866363931237,2.0765317096445073
Red Peppers,Large Lemon,0.01508356481122267,0.19869174161896977,2.076531709644507
Large Lemon,Banana,0.011894601263170962,0.5934959349593496,2.07528740271938
Banana,Large Lemon,0.011894601263170962,0.041592055998697704,2.0752874027193795
Organic Strawberries,Organic Baby Carrots,0.01356279387346565,0.20528479154433352,2.0718492172135314
Organic Baby Carrots,Organic Strawberries,0.01356279387346565,0.13688332028191075,2.0718492172135314
Michigan Organic Kale,Organic Avocado,0.011095420617308857,0.35902585990459457,2.06010288394212
Organic Avocado,Michigan Organic Kale,0.011095420617308857,0.06366590979920751,2.0601028839421196
Organic Strawberries,Organic Baby Spinach,0.0128256855107773,0.19412800939518496,2.0533119496815946
Organic Baby Spinach,Organic Strawberries,0.0128256855107773,0.13565859663520724,2.0533119496815946
Organic Avocado,Banana,0.017698359739917135,0.5860739979445015,2.049334988417257
Banana,Organic Avocado,0.017698359739917135,0.06188615768625537,2.049334988417257
Organic Avocado,Organic Baby Spinach,0.03372852686953958,0.19353546146654202,2.047044509210576
Organic Baby Spinach,Organic Avocado,0.03372852686953958,0.3567501025851457,2.047044509210576
Organic Yellow Onion,Organic Avocado,0.013027420431092007,0.1654350182283969,2.0329515655332044
Organic Avocado,Organic Yellow Onion,0.013027420431092007,0.1600877192982456,2.0329515655332044
Banana,Organic Avocado,0.011739420555236572,0.04104943295892344,2.027024145062058
Organic Avocado,Banana,0.011739420555236572,0.5796934865900383,2.0270241450620574
Organic Strawberries,Organic Cucumber,0.014292143200757283,0.10581341911764706,2.0263662827222273
Organic Cucumber,Organic Strawberries,0.014292143200757283,0.2736998514115899,2.0263662827222273
Banana,Organic Baby Carrots,0.017403516394841792,0.06085517391068425,2.0256034411045474
Organic Baby Carrots,Banana,0.017403516394841792,0.5792871900826446,2.0256034411045474
Organic Avocado,Broccoli Crown,0.011095420617308857,0.06366590979920751,2.015076077294072
Broccoli Crown,Organic Avocado,0.011095420617308857,0.3511787819253438,2.015076077294072
Organic Avocado,Organic Unsweetened Almond Milk,0.017698359739917135,0.21748665141113654,2.014525988728626
Organic Unsweetened Almond Milk,Organic Avocado,0.017698359739917135,0.16393560442719565,2.014525988728626
Organic Grape Tomatoes,Organic Strawberries,0.011452336245557953,0.2717231222385862,2.011731355718834
Organic Strawberries,Organic Grape Tomatoes,0.011452336245557953,0.08478860294117647,2.011731355718834
Organic Avocado,Red Peppers,0.026605732375351097,0.15266461867236544,2.0110099533658836
Red Peppers,Organic Avocado,0.026605732375351097,0.35047015535568277,2.011009953365883
Organic Baby Spinach,Large Lemon,0.018125106686736704,0.19171112022979073,2.00357708380278
Large Lemon,Organic Baby Spinach,0.018125106686736704,0.18942588387933829,2.00357708380278
Large Lemon,Organic Avocado,0.03331729799351345,0.3481998053843659,1.9979826061861825
Organic Avocado,Large Lemon,0.03331729799351345,0.19117581585859936,1.9979826061861825
Organic Baby Carrots,Organic Baby Spinach,0.018675998199903787,0.1884886452623336,1.9936638144193748
Organic Baby Spinach,Organic Baby Carrots,0.018675998199903787,0.19753795650389824,1.9936638144193748
Fresh Cauliflower,Organic Avocado,0.01104886640492854,0.3439613526570049,1.9736622168710254
Organic Avocado,Fresh Cauliflower,0.01104886640492854,0.0633987801077423,1.9736622168710252
Organic Baby Spinach,Banana,0.010831613413820393,0.5622231171969392,1.9659352051271344
Banana,Organic Baby Spinach,0.010831613413820393,0.037875088176243965,1.9659352051271344
Banana,Organic Baby Spinach,0.018877733120218496,0.06601009278853981,1.9570997880774297
Organic Baby Spinach,Banana,0.018877733120218496,0.559696342305038,1.9570997880774297
Organic Strawberries,Honeycrisp Apple,0.013260191492993591,0.09817325367647059,1.952888606317469
Honeycrisp Apple,Organic Strawberries,0.013260191492993591,0.26377527396203115,1.9528886063174689
Organic Navel Orange,Banana,0.013469685448705016,0.5573033707865168,1.9487322435755565
Banana,Organic Navel Orange,0.013469685448705016,0.04709967985240653,1.9487322435755565
Asparagus,Organic Avocado,0.013260191492993591,0.3390873015873016,1.9456947421385782
Organic Avocado,Asparagus,0.013260191492993591,0.0760874404523396,1.945694742138578
Organic Garlic,Organic Avocado,0.016193106872953555,0.33890873660279314,1.9446701300405673
Organic Avocado,Organic Garlic,0.016193106872953555,0.09291661101464761,1.9446701300405673
Bartlett Pears,Banana,0.010637637528902406,0.5534921275736778,1.9354054041443038
Banana,Bartlett Pears,0.010637637528902406,0.03719680937652613,1.9354054041443038
Organic Baby Spinach,Organic Yellow Onion,0.014400769696311355,0.1523184242921625,1.934289403844959
Organic Yellow Onion,Organic Baby Spinach,0.014400769696311355,0.182875160114297,1.934289403844959
Organic Avocado,Organic Red Onion,0.014121444422029453,0.08102933974444593,1.9214762401000332
Organic Red Onion,Organic Avocado,0.014121444422029453,0.3348666053357866,1.9214762401000332
Organic Avocado,Banana,0.014602504616626062,0.5488480606590843,1.9191664158083486
Banana,Organic Avocado,0.014602504616626062,0.0510608280427587,1.9191664158083483
Banana,Organic Baby Spinach,0.010241926723669713,0.035813120625101745,1.9176014177001925
Organic Baby Spinach,Banana,0.010241926723669713,0.5484004985459078,1.9176014177001923
Organic Baby Carrots,Seedless Red Grapes,0.010629878493505687,0.10728269381362568,1.9050438335750488
Seedless Red Grapes,Organic Baby Carrots,0.010629878493505687,0.18875723339763018,1.9050438335750488
Organic Gala Apples,Banana,0.018109588615943265,0.5446907817969661,1.9046295875944594
Banana,Organic Gala Apples,0.018109588615943265,0.06332410874165717,1.9046295875944594
Banana,Organic Strawberries,0.01327570956378703,0.046421401052688695,1.902952611473481
Organic Strawberries,Banana,0.01327570956378703,0.5442111959287531,1.902952611473481
Organic Raspberries,Organic Avocado,0.022462407473502893,0.3290894623166989,1.8883267923200562
Organic Avocado,Organic Raspberries,0.022462407473502893,0.12889007613196204,1.8883267923200562
Organic Avocado,Honeycrisp Apple,0.01654226346580593,0.09492008370063665,1.8881756795038513
Honeycrisp Apple,Organic Avocado,0.01654226346580593,0.32906312702577556,1.8881756795038513
Organic Baby Spinach,Organic Unsweetened Almond Milk,0.01926568489005447,0.2037751333606894,1.8875195298111522
Organic Unsweetened Almond Milk,Organic Baby Spinach,0.01926568489005447,0.17845335633175222,1.8875195298111522
Large Lemon,Organic Strawberries,0.011894601263170962,0.12431073629581575,1.8815521215827746
Organic Strawberries,Large Lemon,0.011894601263170962,0.1800352319436289,1.8815521215827746
Large Lemon,Organic Baby Carrots,0.017799227200074486,0.18602011028219265,1.8774192524189157
Organic Baby Carrots,Large Lemon,0.017799227200074486,0.17963978073610024,1.8774192524189157
Organic Fuji Apple,Organic Baby Carrots,0.010102264086528763,0.1854172600398747,1.871334949761874
Organic Baby Carrots,Organic Fuji Apple,0.010102264086528763,0.1019577133907596,1.8713349497618739
Banana,Large Lemon,0.01778370912928105,0.06218460035813121,1.8664358787509703
Large Lemon,Banana,0.01778370912928105,0.5337680484396833,1.8664358787509703
Organic Avocado,Organic Yellow Onion,0.025147033720767833,0.14429455500645563,1.8323944071674072
Organic Yellow Onion,Organic Avocado,0.025147033720767833,0.31934180707458865,1.8323944071674072
Banana,Organic Fuji Apple,0.02846014183516705,0.0995170654946009,1.8265392245905943
Organic Fuji Apple,Banana,0.02846014183516705,0.5223583024779265,1.8265392245905943
Banana,Organic Yellow Onion,0.013027420431092007,0.04555320418904987,1.8114742555671477
Organic Yellow Onion,Banana,0.013027420431092007,0.5180499845726628,1.8114742555671477
Banana,Honeycrisp Apple,0.02598500954361354,0.09086222801020133,1.8074557293426097
Honeycrisp Apple,Banana,0.02598500954361354,0.5169007562895509,1.8074557293426095
Organic Strawberries,Organic Unsweetened Almond Milk,0.011421300103971074,0.08455882352941176,1.7749365299865874
Organic Unsweetened Almond Milk,Organic Strawberries,0.011421300103971074,0.23973941368078175,1.7749365299865874
Organic Grade A Free Range Large Brown Eggs,Organic Avocado,0.01743455253642867,0.3078082191780822,1.7662142782649743
Organic Avocado,Organic Grade A Free Range Large Brown Eggs,0.01743455253642867,0.10004006945371978,1.7662142782649743
Organic Avocado,Banana,0.011173010971276051,0.503672612801679,1.761200653402409
Banana,Organic Avocado,0.011173010971276051,0.039068858863747356,1.7612006534024087
Organic Avocado,Original Hummus,0.01224375785602334,0.07025510885534927,1.7554515198710985
Original Hummus,Organic Avocado,0.01224375785602334,0.3059325319891431,1.7554515198710983
Organic Fuji Apple,Organic Strawberries,0.012911034900141215,0.23696952435203647,1.7544293564762847
Organic Strawberries,Organic Fuji Apple,0.012911034900141215,0.09558823529411765,1.7544293564762847
Organic Avocado,Banana,0.011173010971276051,0.06411112595164953,1.7443044405531969
Banana,Organic Avocado,0.011173010971276051,0.30398986700443315,1.7443044405531967
Organic Strawberries,Organic Avocado,0.04102202014245589,0.3037109375,1.7427039333455767
Organic Avocado,Organic Strawberries,0.04102202014245589,0.23538577979609096,1.7427039333455765
Organic Avocado,Organic Baby Carrots,0.030042985056097826,0.17238769422554648,1.739833266027947
Organic Baby Carrots,Organic Avocado,0.030042985056097826,0.30321064996084574,1.739833266027947
Seedless Red Grapes,Banana,0.0277618286494623,0.4929732708735189,1.7237880811959647
Banana,Seedless Red Grapes,0.0277618286494623,0.0970752618156167,1.7237880811959645
Organic Whole String Cheese,Banana,0.012856721652364178,0.49067219425525616,1.7157418671660407
Banana,Organic Whole String Cheese,0.012856721652364178,0.044956318845298174,1.7157418671660405
Banana,Organic Strawberries,0.06606818640306637,0.23102175918389498,1.7103944374505258
Organic Strawberries,Banana,0.06606818640306637,0.48914292279411764,1.7103944374505256
Red Peppers,Organic Strawberries,0.017504383854999146,0.23058053965658218,1.707127821232745
Organic Strawberries,Red Peppers,0.017504383854999146,0.1295955882352941,1.7071278212327448
Organic Cucumber,Banana,0.025457395136636612,0.487518573551263,1.7047145476269434
Banana,Organic Cucumber,0.025457395136636612,0.0890173096749688,1.7047145476269434
Organic Fuji Apple,Organic Avocado,0.01609999844819292,0.29549985759043007,1.6955884709483018
Organic Avocado,Organic Fuji Apple,0.01609999844819292,0.0923823516317172,1.6955884709483018
Banana,Organic Granny Smith Apple,0.014284384165360563,0.04994845081122145,1.6940674309083796
Organic Granny Smith Apple,Banana,0.014284384165360563,0.48447368421052633,1.6940674309083796
Organic Garnet Sweet Potato (Yam),Banana,0.012662745767446191,0.4844167408726625,1.6938683161633972
Banana,Organic Garnet Sweet Potato (Yam),0.012662745767446191,0.044278040045580336,1.693868316163397
Organic Strawberries,Organic Baby Carrots,0.022656383358420882,0.1677389705882353,1.69291574059146
Organic Baby Carrots,Organic Strawberries,0.022656383358420882,0.22866092404072047,1.6929157405914599
Organic Raspberries,Organic Baby Carrots,0.01133595071460716,0.1660793452313289,1.6761658709556877
Organic Baby Carrots,Organic Raspberries,0.01133595071460716,0.11440877055599062,1.6761658709556877
Limes,Banana,0.010063468909545166,0.47842124677240877,1.6729037692365725
Banana,Limes,0.010063468909545166,0.03518910412936133,1.6729037692365722
Organic Baby Spinach,Organic Raspberries,0.010785059201440078,0.11407468198604843,1.67127124743957
Organic Raspberries,Organic Baby Spinach,0.010785059201440078,0.15800841195862228,1.6712712474395697
Organic Roasted Turkey Breast,Banana,0.011359227820797319,0.4759427828348505,1.664237281928515
Banana,Organic Roasted Turkey Breast,0.011359227820797319,0.03972000651147648,1.664237281928515
Organic Strawberries,Organic Baby Spinach,0.021213202774631058,0.15705422794117646,1.6611787448103985
Organic Baby Spinach,Organic Strawberries,0.021213202774631058,0.22437423061140746,1.6611787448103985
Organic Raspberries,Large Lemon,0.010847131484613833,0.15891781289075824,1.6608535161358013
Large Lemon,Organic Raspberries,0.010847131484613833,0.11336360687641907,1.6608535161358013
Banana,Broccoli Crown,0.014998215421858755,0.052444516794183084,1.6599101703015482
Broccoli Crown,Banana,0.014998215421858755,0.47470530451866405,1.6599101703015482
Organic Raspberries,Banana,0.03224655110876616,0.47243378424462895,1.6519673064468032
Banana,Organic Raspberries,0.03224655110876616,0.11275706766509308,1.6519673064468032
100% Whole Wheat Bread,Banana,0.012926552970934653,0.46863572433192685,1.638686565286977
Banana,100% Whole Wheat Bread,0.012926552970934653,0.04520049921319659,1.638686565286977
Banana,Organic Broccoli,0.01236790242237085,0.04324705627000922,1.6383795138716428
Organic Broccoli,Banana,0.01236790242237085,0.46854791299235743,1.6383795138716428
Banana,Organic Avocado,0.0813767632407939,0.28455152205762657,1.6327665404848861
Organic Avocado,Banana,0.0813767632407939,0.4669427006811807,1.6327665404848861
Banana,Blueberries,0.01357055290886237,0.04745238482825981,1.6235089624199046
Blueberries,Banana,0.01357055290886237,0.4642951951154765,1.6235089624199046
Organic Blueberries,Organic Avocado,0.011902360298567682,0.282921431206197,1.6234130224262981
Organic Avocado,Organic Blueberries,0.011902360298567682,0.06829615778460442,1.623413022426298
Organic Zucchini,Banana,0.016914697164848468,0.4611804527184261,1.6126175893227033
Banana,Organic Zucchini,0.016914697164848468,0.05914591133539531,1.6126175893227033
Organic Avocado,Organic Unsweetened Almond Milk,0.030198165764032215,0.1732781265304305,1.6050331682833798
Organic Unsweetened Almond Milk,Organic Avocado,0.030198165764032215,0.27971826936898087,1.6050331682833796
Organic Strawberries,Organic Whole Milk,0.01372573361679676,0.10161994485294118,1.6042358810064632
Organic Whole Milk,Organic Strawberries,0.01372573361679676,0.2166829985301323,1.604235881006463
Banana,Organic Baby Spinach,0.04335748979686845,0.1516088773129307,1.6035827103689073
Organic Baby Spinach,Banana,0.04335748979686845,0.458596635207222,1.6035827103689073
Organic Strawberries,Organic Unsweetened Almond Milk,0.011421300103971074,0.17287140340575455,1.6012657908394752
Organic Unsweetened Almond Milk,Organic Strawberries,0.011421300103971074,0.10579272675003594,1.6012657908394752
Organic Avocado,Seedless Red Grapes,0.015696528607563508,0.09006722763901874,1.5993447826635454
Seedless Red Grapes,Organic Avocado,0.015696528607563508,0.2787269220170846,1.5993447826635454
Organic Grade A Free Range Large Brown Eggs,Banana,0.025488431278223492,0.45,1.5735227087742147
Banana,Organic Grade A Free Range Large Brown Eggs,0.025488431278223492,0.08912583428292366,1.5735227087742145
Banana,Michigan Organic Kale,0.01387315528933443,0.048510499755819635,1.5697037985261226
Michigan Organic Kale,Banana,0.01387315528933443,0.4489078583981923,1.5697037985261224
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Banana,0.01239893856395773,0.44862436833239755,1.5687125139567004
Banana,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.01239893856395773,0.04335558087796408,1.5687125139567002
Large Lemon,Organic Strawberries,0.020041588429726417,0.2094550762244567,1.5507231809490136
Organic Strawberries,Large Lemon,0.020041588429726417,0.14838005514705882,1.5507231809490134
Banana,Organic Baby Carrots,0.04391614034543226,0.1535623202561181,1.549837036746203
Organic Baby Carrots,Banana,0.04391614034543226,0.4432263116679719,1.549837036746203
Banana,Total 0% Greek Yogurt,0.014043854068062259,0.049107385099571334,1.5474469453307953
Total 0% Greek Yogurt,Banana,0.014043854068062259,0.44254278728606355,1.547446945330795
Banana,Red Peppers,0.03356558712620847,0.11736936350317434,1.546075051820944
Red Peppers,Banana,0.03356558712620847,0.4421504497138185,1.546075051820944
Banana,Organic Unsweetened Almond Milk,0.047640477335857606,0.16658527321070055,1.54303889477803
Organic Unsweetened Almond Milk,Banana,0.047640477335857606,0.44128216185137276,1.54303889477803
